country,code,continent,life_sat,good_day,typical_day,bad_day,happy_eb,happy_wvs,pop,gdp_cap,hdi,life_sat_sd,pos_affect,neg_affect,log_gdp,hlife_exp,gini,social,freedom,generosity,corruption_percep,gov_conf
Indonesia,IDN,Asia,5.136325359,30,67,3,,92.94294,247188189,10764.5479973228,0.684,2.5467782020568848,0.8328119516372681,0.3415735960006714,9.287412643432617,60.4772834777832,0.3557,0.7918305993080139,0.8299416303634644,0.4859275817871094,0.8896774053573608,0.8008807301521301
Iran,IRN,Asia,4.652730942,,,,,80.29557,76407013,16010.1114418437,0.766,2.542438507080078,0.6867649555206299,0.5258768200874329,9.748827934265137,65.6570816040039,0.3735,0.5662811994552612,,0.1568540632724762,,0.7094711661338806
Iraq,IRQ,Asia,4.412537098,,,,,68,34776205,16086.9180587168,0.654,2.9487881660461426,0.4886920154094696,0.5697580575942993,9.586719512939453,60.853660583496094,0.2954,0.718956708908081,0.6661601662635803,-0.0829150602221489,0.7988664507865906,0.41860431432724
Ireland,IRL,Europe,7.04073143,,,,94.526169,,4631391,62828.3391656069,0.916,1.8430733680725098,0.809203028678894,0.21106331050395966,10.901152610778809,71.40406799316406,0.32520000000000004,0.9581440091133118,0.8745891451835632,0.1717856377363205,0.3985443115234375,0.5747397541999817
Isle of Man,IMN,Europe,,,,,,,84111,,,,,,,,,,,,,
Israel,ISR,Asia,7.159010887,23,68,8,,77.462433,7818860,32612.6885763515,0.894,1.66659677028656,0.6291893720626831,0.26309022307395935,10.367464065551758,72.306243896484375,0.4278,0.8896607756614685,0.7722973227500916,0.14669249951839447,0.8040565848350525,0.438133180141449
Italy,ITA,Europe,5.95452404,19,77,5,65.210258,89.781746,61087395,34620.1293633715,0.873,1.871863603591919,0.6854228377342224,0.3391735851764679,10.431843757629395,72.7275619506836,0.35159999999999997,0.9272128343582153,0.623741626739502,-0.08727662265300751,0.9028012156486511,0.23759908974170685
Jamaica,JAM,North America,5.310538769,,,,,,2771179,8190.00090507955,0.719,2.7640483379364014,0.737160861492157,0.3099849224090576,9.044233322143555,65.43006896972656,,0.8742315173149109,0.8089731335639954,-0.0030931441579014063,0.8611325025558472,0.27950647473335266
Japan,JPN,Asia,5.954650879,7,90,2,,86.45108,126345235,38239.7712871916,0.891,1.898952603340149,0.7601085901260376,0.192402645945549,10.493810653686523,75.08885192871094,0.3211,0.8997738361358643,0.8360646367073059,-0.07560616731643677,0.6976393461227417,0.36220064759254456
Jersey,JEY,Europe,,,,,,,91533,,,,,,,,,,,,,
Jordan,JOR,Asia,5.27128458,26,55,17,,85.75,6572903,8389.54333612986,0.748,2.6756856441497803,0.6406578421592712,0.3119133710861206,9.23994255065918,64.30827331542969,0.33659999999999995,0.8199447393417358,0.771350622177124,-0.0529453419148922,,
Kazakhstan,KAZ,Asia,5.533551693,,,,,88.73333,16550975,23419.9055774228,0.788,2.012498140335083,0.7024791240692139,0.15541473031044006,10.086565017700195,65.25882720947266,0.2635,0.9278106689453125,0.7828055620193481,-0.053312744945287704,0.7020166516304016,0.7597261667251587
Kenya,KEN,Africa,4.396127701,48,41,10,,,43923719,2925.60091711188,0.548,2.433896780014038,0.7427623271942139,0.22564765810966492,8.00462532043457,54.582645416259766,,0.7059215903282166,0.7485082745552063,0.31537044048309326,0.8284115791320801,0.5776540637016296
Kiribati,KIR,Oceania,,,,,,,104251,1897.81234732038,0.59,,,,,,,,,,,
Kosovo,OWID_KOS,Europe,5.759412289,,,,,,,9331.68771764274,,2.2976200580596924,0.7038869857788086,0.14960671961307526,9.164076805114746,62.2653923034668,0.2671,0.8238027095794678,0.8273985981941223,0.11829041689634323,0.9408979415893555,0.3137645721435547
Kuwait,KWT,Asia,5.947194576,,,,,91.987679,2959015,69329.4129636801,0.816,2.3606340885162354,0.6882872581481934,0.3149229884147644,11.089804649353027,65.22395324707031,,0.8452220559120178,0.8409671783447266,-0.113090381026268,,
Kyrgyzstan,KGZ,Asia,4.856534004,,,,,95.994659,5503253,3291.96824336307,0.655,1.919352412223816,0.7781712412834167,0.12609967589378357,8.091743469238281,62.59346389770508,0.2737,0.9143754839897156,0.8139392137527466,0.08191780000925064,0.9169228076934814,0.5275701880455017
Laos,LAO,Asia,4.876084805,,,,,,6458911,5734.58657171573,0.575,1.6960864067077637,0.9168009757995605,0.3866792321205139,8.411408424377441,56.350990295410156,0.3789,0.6926279067993164,,0.24061140418052673,,
Latvia,LVA,Europe,5.940446377,,,,74.278404,68.833336,2226260,23712.0907801074,0.819,1.705120325088501,0.6537512540817261,0.2313835322856903,10.052936553955078,65.52488708496094,0.35479999999999995,0.9170739650726318,0.685299277305603,-0.1626577228307724,0.8676396012306213,0.3152613043785095
Lebanon,LBN,Asia,5.27072382,25,64,11,,78.726974,4324060,12974.1654544052,0.769,2.212087392807007,0.5526511073112488,0.2634456157684326,9.456853866577148,68.87224578857422,,0.8278859257698059,0.6573574542999268,0.03452610969543457,0.8531144857406616,0.13795143365859985
Lesotho,LSO,Africa,3.808204889,,,,,,2240126,2808.23632967403,0.497,3.10268235206604,0.7324655652046204,0.2702834904193878,7.858116149902344,43.37739562988281,,0.7980592846870422,0.7294898629188538,-0.09374170005321503,0.7428733706474304,0.6092690229415894
Liberia,LBR,Africa,3.354676008,,,,,,4348740,753.557379048622,0.43,2.625506639480591,0.6355275511741638,0.5090466737747192,6.681718826293945,51.54916000366211,0.36479999999999996,0.6426146030426025,0.7634760141372681,0.0857057124376297,0.9012674689292908,0.5442469120025635
Libya,LBY,Africa,5.43358326,,,,,86.817322,6506095,11192.7906388431,0.724,2.6879537105560303,0.7177850604057312,0.38307374715805054,9.625382423400879,61.29749298095703,,0.8760658502578735,0.8223848342895508,-0.12947410345077515,,
Liechtenstein,LIE,Europe,,,,,,,36871,,0.908,,,,,,,,,,,
Lithuania,LTU,Europe,5.865552425,,,,67.856468,54.70763,3278337,27904.0962508606,0.839,1.906200885772705,0.5941672921180725,0.24985574185848236,10.216113090515137,65.05998992919922,0.3515,0.937873363494873,0.6142393350601196,-0.2738747298717499,0.9493926763534546,0.2796385586261749
Luxembourg,LUX,Europe,6.967340946,,,,95.341072,,530018,97018.6636397428,0.892,1.389065146446228,0.7579497694969177,0.1923007071018219,11.459248542785645,72.89732360839844,0.3479,0.941260576248169,0.882365345954895,0.003842964768409729,0.3563363254070282,0.6789778470993042
Macao,MAC,Asia,,,,,,,578844,96565.8898052951,,,,,,,,,,,,
